law,congreso_url
Ley 26470,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley26470
Ley 26472,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley26472
Ley 27365,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley27365
Ley 27680,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley27680
Ley 28389,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley28389
Ley 28390,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley28390
Ley 28480,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley28480
Ley 28484,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley28484
Ley 28607,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley28607
Ley 29401,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley29401
Ley 29402,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley29402
Ley 30305,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley30305
Ley 30558,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley-30558
Ley 30588,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley30588
Ley 30650,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley30650
Ley 30651,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley30651
Ley 30738,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley30738
Ley 30904,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley30904
Ley 30905,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley30905
Ley 30906,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley30906
Ley 31042,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31042
Ley 31097,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31097
Ley 31118,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31118
Ley 31122,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31122
Ley 31280,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31280
Ley 31304,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31304
Ley 31305,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31305
Ley 31414,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31414
Ley 31507,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31507
Ley 31878,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31878
Ley 31988,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley31988
Ley 32135,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley32135
Ley 32145,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley32145
Ley 32188,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley32188
Ley 32189,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley32189
Ley 32265,https://www.congreso.gob.pe/diariodebates/leyesrefconstit/ley32265
